POR_s1            , PIPW_s1           , PDR_s1            , POR_s2            , PIPW_s2           , PDR_s2            , POR_s3            , PIPW_s3           , PDR_s3            , POR_s4            , PIPW_s4           , PDR_s4
1.9805794398253915, 1.9759326373148742, 1.975932637314875 , 1.7196179929978117, 1.7593909245089152, 1.7593909245089143, 1.968537696471426 , 1.9639643936132394, 1.9639643936132332, 2.0293400213977506, 1.9671046065926214, 1.9671046065926214
1.9836025069676928, 1.9845379440354463, 1.9845379440354467, 1.7266990843328072, 1.6961719230633914, 1.696171923063391 , 1.991716219894635 , 1.9822647488695253, 1.9822647488695275, 1.985983049226995 , 1.9981519002401888, 1.9981519002401866
2.003858144387209 , 2.0045086790712876, 2.0045086790712876, 1.9880001890124248, 1.9887915251305182, 1.9887915251305186, 2.0169423707995264, 2.0122286998648478, 2.0122286998648473, 2.179540249624914 , 2.1613660597606397, 2.1613660597606414
2.0438008832366306, 2.0425455163621598, 2.0425455163621593, 2.061875975209162 , 2.067087319418434 , 2.0670873194184343, 2.0475924080389776, 2.0481381423810334, 2.04813814238103  , 2.2231409371495445, 2.233399097573772 , 2.233399097573774
2.010897809820766 , 2.011995437654829 , 2.0119954376548286, 2.0128555731357523, 2.006040138525675 , 2.006040138525675 , 2.0057451058746993, 2.0145910680050885, 2.0145910680050854, 2.1463108887222972, 2.131829166558527 , 2.1318291665585276
2.0228892812243906, 2.023634021050192 , 2.0236340210501917, 1.9510893982117494, 1.9408530946596034, 1.9408530946596039, 2.0266682488863026, 2.013760317052305 , 2.0137603170522995, 2.123520137532971 , 2.129401074587253 , 2.129401074587254
1.9555383768049956, 1.9528641021691313, 1.9528641021691322, 2.177368262001835 , 2.1738048048587864, 2.1738048048587864, 1.951323901497412 , 1.9513420846325953, 1.9513420846325902, 2.3064603217228807, 2.3025241657681654, 2.3025241657681645
1.982687532026841 , 1.9829379533082803, 1.9829379533082812, 2.0098014168003715, 2.0068325181359326, 2.0068325181359326, 1.9908484764018377, 1.9941325715012987, 1.9941325715012965, 2.177114919913535 , 2.180395597012429 , 2.1803955970124282
1.99030419253711  , 1.9924440139313366, 1.9924440139313366, 1.8923793595922973, 1.8941864249353406, 1.8941864249353395, 1.9817094598672074, 1.9783738331870795, 1.9783738331870808, 2.097870065310836 , 2.093179420591419 , 2.093179420591419
2.010831351817445 , 2.009166612405772 , 2.0091666124057714, 2.0304007656229714, 2.0365630958690275, 2.036563095869028 , 2.0164016381991687, 2.0179775429397386, 2.0179775429397413, 2.197613895565304 , 2.205708745772316 , 2.205708745772316
1.9349144032786083, 1.9350597111097314, 1.9350597111097314, 1.9904667502804754, 1.9936567855829908, 1.9936567855829903, 1.9457849519872992, 1.956341330077469 , 1.956341330077473 , 2.1887590424879306, 2.1749223684664862, 2.1749223684664876
1.9644505107136077, 1.9637897916913776, 1.9637897916913782, 1.7726456667055146, 1.7892513675002968, 1.789251367500297 , 1.9559479894086647, 1.955700452603747 , 1.9557004526037498, 2.02897613390234  , 2.06665020910269  , 2.066650209102686
2.040981465850675 , 2.0439763865087164, 2.0439763865087164, 2.2009479170185955, 2.210432437051088 , 2.2104324370510877, 2.036370995322483 , 2.053163357198324 , 2.0531633571983217, 2.3040715850324744, 2.3063419046677405, 2.3063419046677383
1.970036780804328 , 1.975472528099193 , 1.9754725280991934, 2.1809924132031853, 2.177740331893487 , 2.1777403318934883, 1.9646552575917353, 1.9708739380789273, 1.970873938078928 , 2.295595492130488 , 2.292694091973634 , 2.292694091973635
2.026266721858292 , 2.0241142734741944, 2.024114273474195 , 2.0344419295468015, 2.0261008382977037, 2.0261008382977046, 2.0273305682176774, 2.0209907170742154, 2.0209907170742083, 2.192277296522498 , 2.197388490701673 , 2.1973884907016714
2.0502237507974854, 2.0479363003169997, 2.0479363003169992, 2.3016686595931475, 2.3023301578229955, 2.3023301578229947, 2.052112034401084 , 2.0496889716909847, 2.0496889716909834, 2.3451921996020033, 2.345640389020032 , 2.345640389020033
2.0099943532899864, 2.009058853195582 , 2.0090588531955818, 2.0834414659777423, 2.078839139934644 , 2.078839139934644 , 2.023751717775853 , 2.0290455549181328, 2.029045554918132 , 2.2180351559547162, 2.2134327607720565, 2.213432760772058
2.026324845249479 , 2.0262832149116528, 2.026283214911653 , 1.9316093419180047, 1.9364617809099647, 1.936461780909964 , 2.0168287936818503, 2.0214338649834915, 2.021433864983493 , 2.1346943243244   , 2.137845836400893 , 2.1378458364008903
1.9987204339043398, 1.999708112178271 , 1.9997081121782707, 1.90731589420011  , 1.9047946652221632, 1.9047946652221635, 2.006015618827231 , 2.002363741886773 , 2.002363741886776 , 2.093014081163261 , 2.0857427889818427, 2.085742788981834
1.9977509825217887, 1.993950919827188 , 1.993950919827188 , 1.9613461111398465, 1.9775633429800026, 1.977563342980004 , 1.9909039716721537, 1.9849963897004512, 1.9849963897004494, 2.1450048185813984, 2.139225110406684 , 2.1392251104066853
1.9892559974102864, 1.991118891324977 , 1.991118891324977 , 1.946374406434245 , 1.9543110895916165, 1.954311089591617 , 1.9806132093528257, 1.9885224396562335, 1.9885224396562378, 2.156947676398282 , 2.1686298724941766, 2.1686298724941784
